city	cityASCII	latitude	longitude	country	population	id	zoomLevel	countryColor
KermÄnshÄh	Kermanshah	34.3369	47.0911	Iran	946651	1364535690	1	
Kibanseke PremiÃ¨re	Kibanseke Premiere	-4.4419	15.395	Congo (Kinshasa)	946372	1180763985	1	
Seberang Jaya	Seberang Jaya	5.3909	100.4104	Malaysia	946092	1458417183	1	
Sale	Sale	34.0333	-6.8	Morocco	945101	1504989034	1	
Hubli	Hubli	15.3502	75.1376	India	943788	1356422270	1	#FF7C4C
El Alto	El Alto	-16.5047	-68.1633	Bolivia	943000	1068007058	1	
Ã‡ankaya	Cankaya	39.9244	32.8856	Turkey	942553	1792458894	1	
Hwasu-dong	Hwasu-dong	37.1997	126.8314	Korea, South	941489	1410037247	1	
Yingcheng	Yingcheng	24.21	113.401	China	941325	1156012356	1	#FFAADE
Fort Worth	Fort Worth	32.7817	-97.3474	United States	941311	1840020696	1	#2B70C9
Setagaya	Setagaya	35.6466	139.6532	Japan	940071	1392792380	1	#C33C3C
KeÃ§iÃ¶ren	Kecioren	40	32.8667	Turkey	939279	1792127988	1	
Luocheng	Luocheng	22.7689	111.5697	China	936931	1156138895	1	#FFAADE
Jerusalem	Jerusalem	31.7789	35.2256	Israel	936425	1376261644	1	
Khartoum North	Khartoum North	15.6333	32.6333	Sudan	936349	1729318628	1	
Meishan	Meishan	34.167	112.844	China	936000	1156023073	5.3	#FFAADE
Mushin	Mushin	6.5333	3.35	Nigeria	935400	1566329100	1	
Trujillo	Trujillo	-8.112	-79.0288	Peru	935147	1604613706	1	
KitakyÅ«shÅ«	Kitakyushu	33.8833	130.8833	Japan	935084	1392003140	1	#C33C3C
Aguascalientes	Aguascalientes	21.876	-102.296	Mexico	934424	1484666646	1	
Khulna	Khulna	22.8167	89.55	Bangladesh	928891	1050667339	10.6	
Chihuahua	Chihuahua	28.6369	-106.0769	Mexico	925762	1484335603	1	
Bridgeport	Bridgeport	41.1918	-73.1954	United States	921660	1840004836	1	#2B70C9
Xinâ€™an	Xin'an	34.286	118.355	China	920628	1156236053	1	#FFAADE
Mysore	Mysore	12.3086	76.6531	India	920550	1356779323	1	#FF7C4C
Kashgar	Kashgar	39.4681	75.9938	China	920000	1156113193	1	#FFAADE
SÅngnam	Songnam	37.4333	127.15	Korea, South	918771	1410622472	1	
New Orleans	New Orleans	30.0687	-89.9288	United States	918752	1840001839	1	#2B70C9
Trichinopoly	Trichinopoly	10.7903	78.7047	India	916857	1356884472	1	#FF7C4C
Cartagena	Cartagena	10.4	-75.5	Colombia	914552	1170886102	1	
Qingzhou	Qingzhou	36.6853	118.4796	China	914047	1156874864	1	#FFAADE
Naples	Naples	40.8358	14.2486	Italy	913462	1380646673	1	
Santiago del Estero	Santiago del Estero	-27.7833	-64.2667	Argentina	911506	1032492280	1	#84D8FF
Naucalpan de JuÃ¡rez	Naucalpan de Juarez	19.4753	-99.2378	Mexico	910407	1484850125	1	
Masbate	Masbate	12.27	123.58	Philippines	908920	1608802236	1	
Owerri	Owerri	5.485	7.035	Nigeria	908109	1566679132	1	
Taishan	Taishan	22.252	112.794	China	907744	1156105450	1	#FFAADE
Jiaozhou	Jiaozhou	36.2647	120.0334	China	907500	1156752602	1	#FFAADE
Wuchuan	Wuchuan	21.441	110.779	China	907354	1156198103	1	#FFAADE
Wafangdian	Wafangdian	39.6271	121.9796	China	905082	1156476417	1	#FFAADE
La Plata	La Plata	-34.9211	-57.9544	Argentina	904789	1032403831	1	#84D8FF
Bobo-Dioulasso	Bobo-Dioulasso	11.1833	-4.2833	Burkina Faso	903887	1854348796	1	
Ad DammÄm	Ad Dammam	26.4333	50.1	Saudi Arabia	903312	1682452296	1	
Hanchuan	Hanchuan	30.6667	113.8333	China	903296	1156149248	1	#FFAADE
Quzhou	Quzhou	28.9702	118.8593	China	902767	1156180376	1	#FFAADE
Donetsk	Donetsk	48.0028	37.8053	Ukraine	901645	1804963805	1	
AshmÅ«n	Ashmun	30.2974	30.9764	Egypt	901191	1818251892	1	
Bunia	Bunia	1.5667	30.25	Congo (Kinshasa)	900666	1180006418	1	
Wuchang	Wuchang	44.924	127.158	China	897705	1156065450	1	#FFAADE
SÃ£o GonÃ§alo	Sao Goncalo	-22.8269	-43.0539	Brazil	896744	1076485783	1	#9CCE59
Hengzhou	Hengzhou	22.6799	109.2614	China	896099	1156041202	1	#FFAADE
Feicheng	Feicheng	36.1861	116.7719	China	894115	1156303834	1	#FFAADE
Bucaramanga	Bucaramanga	7.1333	-73	Colombia	893040	1170940590	1	
Cazenga	Cazenga	-8.8214	13.2911	Angola	892401	1024791607	1	
MÃ©rida	Merida	20.9667	-89.6167	Mexico	892363	1484396779	1	
Hegang	Hegang	47.3501	130.298	China	891271	1156541759	1	#FFAADE
Osmangazi	Osmangazi	40.1983	29.06	Turkey	891250	1792498117	1	
MorÄdÄbÄd	Moradabad	28.8319	78.7764	India	889810	1356269375	1	#FF7C4C
Bangui	Bangui	4.3733	18.5628	Central African Republic	889231	1140080881	1	
Abeokuta	Abeokuta	7.1608	3.3483	Nigeria	888924	1566979497	1	
CancÃºn	Cancun	21.1606	-86.8475	Mexico	888797	1484010310	1	
Zaoyang	Zaoyang	32.129	112.772	China	888794	1156197076	1	#FFAADE
Dongtai	Dongtai	32.795	120.519	China	888410	1156536785	1	#FFAADE
Antipolo	Antipolo	14.5842	121.1763	Philippines	887399	1608824345	1	
Taguig City	Taguig City	14.52	121.05	Philippines	886722	1608766695	1	
TabÅ«k	Tabuk	28.3972	36.5789	Saudi Arabia	886036	1682590992	1	
Xishan	Xishan	27.6461	113.497	China	885987	1156155575	1	#FFAADE
Zhoushan	Zhoushan	29.9856	122.2074	China	882932	1156200283	1	#FFAADE
Panama City	Panama City	8.9711	-79.5347	Panama	880691	1591672475	1	
Tucson	Tucson	32.1541	-110.8787	United States	879871	1840022101	1	#2B70C9
Yichun	Yichun	47.728	128.841	China	878881	1156757274	1	#FFAADE
As SulaymÄnÄ«yah	As Sulaymaniyah	35.55	45.4333	Iraq	878146	1368735317	1	
Klang	Klang	3.0223	101.5481	Malaysia	878000	1458509635	1	
TiruppÅ«r	Tiruppur	11.1085	77.3411	India	877778	1356539761	1	#FF7C4C
Marseille	Marseille	43.2964	5.37	France	877215	1250774071	1	
Gurgaon	Gurgaon	28.456	77.029	India	876824	1356836043	1	#FF7C4C
Yangchun	Yangchun	22.1704	111.7916	China	875896	1156787307	1	#FFAADE
Ar RamÄdÄ«	Ar Ramadi	33.4258	43.2992	Iraq	874543	1368838855	1	
Haiâ€™an	Hai'an	32.535	120.563	China	874334	1156332302	1	#FFAADE
Jalandhar	Jalandhar	31.326	75.5762	India	873725	1356494816	1	#FF7C4C
Daye	Daye	30.0961	114.9804	China	871214	1156255811	1	#FFAADE
Zhongxiang	Zhongxiang	31.168	112.588	China	868897	1156631720	1	#FFAADE
Gaomi	Gaomi	36.3833	119.75	China	868715	1156673331	1	#FFAADE
Teresina	Teresina	-5.0903	-42.8167	Brazil	868075	1076727667	1	#9CCE59
Lhasa	Lhasa	29.6534	91.1719	China	867891	1156369972	1	#FFAADE
Ipoh	Ipoh	4.6	101.065	Malaysia	866772	1458423505	1	
Saltillo	Saltillo	25.4231	-100.9919	Mexico	864431	1484107245	1	
Aden	Aden	12.8	45.0333	Yemen	863000	1887867886	1	
El Paso	El Paso	31.8476	-106.43	United States	862494	1840023252	1	#2B70C9
Gongzhuling	Gongzhuling	43.5053	124.8224	China	862313	1156696810	1	#FFAADE
Lianyuan	Lianyuan	27.692	111.664	China	862099	1156490109	1	#FFAADE
Ikeja	Ikeja	6.6	3.35	Nigeria	861300	1566486388	1	
Tyumen	Tyumen	57.15	65.5333	Russia	861100	1643040435	1	
Cochabamba	Cochabamba	-17.3883	-66.1597	Bolivia	856198	1068793894	1	
Portsmouth	Portsmouth	50.8058	-1.0872	United Kingdom	855679	1826964096	1	
Southampton	Southampton	50.9025	-1.4042	United Kingdom	855569	1826602892	1	
Hermosillo	Hermosillo	29.0989	-110.9542	Mexico	855563	1484015319	1	
Cheongju	Cheongju	36.6333	127.4833	Korea, South	852018	1410964361	1	
Shache	Shache	38.4261	77.25	China	851374	1156278934	1	#FFAADE
Thanh HÃ³a	Thanh Hoa	19.8075	105.7764	Vietnam	850000	1704016079	1	
Macheng	Macheng	31.173	115.008	China	849090	1156949639	1	#FFAADE
Akure	Akure	7.25	5.195	Nigeria	847903	1566568277	1	
Ilorin	Ilorin	8.5	4.55	Nigeria	847582	1566480168	1	
Erbil	Erbil	36.1911	44.0094	Iraq	846000	1368578192	12.1	
Kathmandu	Kathmandu	27.71	85.32	Nepal	845767	1524589448	1	
Turin	Turin	45.0792	7.6761	Italy	841600	1380244627	1	
Anqiu	Anqiu	36.478	119.219	China	840553	1156592047	1	#FFAADE
Yuci	Yuci	37.6823	112.7281	China	840000	1156177817	1	#FFAADE
Dehui	Dehui	44.535	125.703	China	839786	1156898134	1	#FFAADE
Pietermaritzburg	Pietermaritzburg	-29.6167	30.3833	South Africa	839327	1710690280	1	
Durban	Durban	-29.8833	31.05	South Africa	838634	1710149138	1	
Saratov	Saratov	51.53	46.035	Russia	838042	1643556540	1	
Bhubaneshwar	Bhubaneshwar	20.27	85.84	India	837737	1356140143	1	#FF7C4C
Yushu	Yushu	44.826	126.55	China	836098	1156326773	1	#FFAADE
JoÃ£o Pessoa	Joao Pessoa	-7.12	-34.88	Brazil	833932	1076922014	1	#9CCE59
Samarinda	Samarinda	-0.5	117.1378	Indonesia	831460	1360684979	1	
Omaha	Omaha	41.2627	-96.0529	United States	826161	1840009315	1	#2B70C9
Qingping	Qingping	34.539	113.391	China	826031	1156033855	1	#FFAADE
Rongjiawan	Rongjiawan	29.15	113.1024	China	826000	1156795164	1	#FFAADE
Weichanglu	Weichanglu	37.1792	119.9333	China	824708	1156194600	1	#FFAADE
Sakai	Sakai	34.5733	135.4831	Japan	824408	1392003291	1	#C33C3C
EskiÅŸehir	Eskisehir	39.7767	30.5206	Turkey	820568	1792933981	1	
Renqiu	Renqiu	38.686	116.084	China	816401	1156943939	1	#FFAADE
Wutong	Wutong	30.6333	120.5333	China	815848	1156182309	1	#FFAADE
Barcelona	Barcelona	10.1403	-64.6833	Venezuela	815141	1862418619	2	
Wuâ€™an	Wu'an	36.697	114.204	China	811631	1156729960	1	#FFAADE
SÃ£o Bernardo do Campo	Sao Bernardo do Campo	-23.6939	-46.565	Brazil	810729	1076793227	1	#9CCE59
McAllen	McAllen	26.2252	-98.2467	United States	810034	1840021024	1	#2B70C9
Narela	Narela	28.85	77.1	India	809913	1356542019	1	#FF7C4C
Bhayandar	Bhayandar	19.29	72.85	India	809378	1356019118	1	#FF7C4C
CuliacÃ¡n	Culiacan	24.8069	-107.3939	Mexico	808416	1484516810	1	
Nâ€™Djamena	N'Djamena	12.1053	15.0447	Chad	807000	1148708596	1	
Xiashi	Xiashi	30.5333	120.6833	China	806966	1156080077	1	#FFAADE
CÃºcuta	Cucuta	7.8942	-72.5039	Colombia	806378	1170743755	1	
Danyang	Danyang	32	119.586	China	806300	1156578273	1	#FFAADE
Dongyang	Dongyang	29.2667	120.2167	China	804398	1156259752	1	#FFAADE
KrakÃ³w	Krakow	50.0614	19.9372	Poland	804237	1616172264	1	
Oran	Oran	35.6969	-0.6331	Algeria	803329	1012126319	1	
Pasig City	Pasig City	14.5605	121.0765	Philippines	803159	1608278212	1	
ThessalonÃ­ki	Thessaloniki	40.6403	22.9356	Greece	802572	1300397999	1	
Blantyre	Blantyre	-15.7861	35.0058	Malawi	800264	1454145012	1	
Palermo	Palermo	2.8917	-75.4375	Colombia	800000	1170614290	1	
Qamdo	Qamdo	31.143	97.17	China	798067	1156277802	1	#FFAADE
KarÄ«mnagar	Karimnagar	18.4386	79.1288	India	797447	1356578937	1	#FF7C4C
Libreville	Libreville	0.3901	9.4544	Gabon	797003	1266952885	1	
Hejian	Hejian	38.4466	116.0995	China	795198	1156405731	1	#FFAADE
Seyhan	Seyhan	36.9831	35.3328	Turkey	795012	1792655353	1	
Laiyang	Laiyang	36.9758	120.7136	China	794986	1156207330	1	#FFAADE
QuerÃ©taro	Queretaro	20.5875	-100.3928	Mexico	794789	1484604775	9.2	
Wuxi	Wuxi	26.58	111.841	China	791939	1156698595	12.1	#FFAADE
Yiyang	Yiyang	26.4221	112.3999	China	790676	1156142520	7	#FFAADE
Niigata	Niigata	37.9161	139.0364	Japan	790646	1392913753	1	#C33C3C
Vinh	Vinh	18.6667	105.6667	Vietnam	790000	1704960059	1	
Puxi	Puxi	35.2125	114.735	China	789300	1156046618	1	#FFAADE
Hempstead	Hempstead	40.6629	-73.6089	United States	789177	1840005293	1	#2B70C9
Hamamatsu	Hamamatsu	34.7108	137.7275	Japan	788211	1392174500	1	#C33C3C
Zijinglu	Zijinglu	34.7667	112.9667	China	785242	1156086381	1	#FFAADE
Kumila	Kumila	35.25	73.5	Pakistan	784711	1586024256	1	
Xingyi	Xingyi	25.092	104.8955	China	783120	1156255316	1	#FFAADE
Xingcheng	Xingcheng	24.1347	115.73	China	779411	1156913008	1	#FFAADE
Birmingham	Birmingham	33.5279	-86.7971	United States	778756	1840006507	2.3	#2B70C9
Ailan Mubage	Ailan Mubage	43.908	81.2777	China	778047	1156279608	1	#FFAADE
Lubango	Lubango	-14.9167	13.5	Angola	776249	1024669127	1	
Frankfurt	Frankfurt	50.1106	8.6822	Germany	775790	1276054552	1	
Homs	Homs	34.7319	36.7181	Syria	775404	1760013934	1	
Bilbao	Bilbao	43.2569	-2.9236	Spain	775000	1724331267	1	#FED142
San Luis PotosÃ­	San Luis Potosi	22.1511	-100.9761	Mexico	772828	1484583620	1	
Bucheon	Bucheon	37.5	126.7833	Korea, South	772450	1410428222	1	
Fuyang	Fuyang	30.0553	119.95	China	771000	1156340393	10.6	#FFAADE
Korla	Korla	41.7259	86.1746	China	770000	1156965620	1	#FFAADE
KhÅ­jand	Khujand	40.2833	69.6333	Tajikistan	770000	1762372787	1	
HamhÅ­ng	Hamhung	39.9167	127.5333	Korea, North	768551	1408482040	1	
Erzurum	Erzurum	39.9086	41.2769	Turkey	767848	1792511957	1	
Albuquerque	Albuquerque	35.1054	-106.6465	United States	767499	1840019176	1	#2B70C9
Zagreb	Zagreb	45.8131	15.9772	Croatia	767131	1191233290	1	
Al â€˜Ayn	Al `Ayn	24.2075	55.7447	United Arab Emirates	766936	1784674685	1	
Dodoma	Dodoma	-6.1731	35.7419	Tanzania	765179	1834288497	1	
Pikine	Pikine	14.744	-17.4021	Senegal	764597	1686165071	1	
PatiÄla	Patiala	30.34	76.38	India	763280	1356458416	1	#FF7C4C
Bahawalpur	Bahawalpur	29.3956	71.6836	Pakistan	762111	1586038700	1	
Qingnian	Qingnian	36.8494	115.7061	China	760781	1156689964	1	#FFAADE
Sanhe	Sanhe	40.0167	117.0833	China	760107	1156476348	1	#FFAADE
Kaduna	Kaduna	10.5167	7.4333	Nigeria	760084	1566368729	1.7	
Winnipeg	Winnipeg	49.8844	-97.1464	Canada	758515	1124224963	1	
Baardheere	Baardheere	2.3447	42.2764	Somalia	755500	1706822684	1	
ShÄ«shgarh	Shishgarh	28.72	79.32	India	753815	1356494610	1	#FF7C4C
Leping	Leping	28.978	117.152	China	753787	1156705082	1	#FFAADE
Colombo	Colombo	6.9167	79.8333	Sri Lanka	752993	1144251314	1	
Nerima	Nerima	35.7356	139.6517	Japan	752608	1392093402	1	#C33C3C
Natal	Natal	-5.795	-35.2089	Brazil	751300	1076697777	1	#9CCE59
Lichuan	Lichuan	30.291	108.9364	China	750670	1156302762	1	#FFAADE
Pendik	Pendik	40.8747	29.235	Turkey	750435	1792824929	1	
GdaÅ„sk	Gdansk	54.3475	18.6453	Poland	749786	1616406372	1	
Licheng	Licheng	31.4306	119.4788	China	749522	1156933354	1	#FFAADE
Santo AndrÃ©	Santo Andre	-23.6533	-46.528	Brazil	748919	1076625886	1	#9CCE59
Andijon	Andijon	40.7833	72.3333	Uzbekistan	747800	1860445095	1	
Gaalkacyo	Gaalkacyo	6.7697	47.4308	Somalia	745000	1706067930	1	
ÅŒta-ku	Ota-ku	35.5614	139.7161	Japan	744849	1392003511	1	#C33C3C
Thiruvananthapuram	Thiruvananthapuram	8.5241	76.9366	India	743691	1356024354	1	#FF7C4C
Nampula	Nampula	-15.1167	39.2667	Mozambique	743000	1508958445	1	
Zhuanghe	Zhuanghe	39.681	122.967	China	742496	1156410076	1	#FFAADE
Kyaukse	Kyaukse	21.6131	96.1303	Burma	741071	1104814217	1	
Tulsa	Tulsa	36.1283	-95.9042	United States	740620	1840021672	1	#2B70C9
Chengguan	Chengguan	35.4623	113.8054	China	740435	1156866870	1	#FFAADE
BaÄŸcÄ±lar	Bagcilar	41.0344	28.8564	Turkey	740069	1792374908	1	
BouakÃ©	Bouake	7.6833	-5.0331	CÃ´te dâ€™Ivoire	740000	1384983838	1	
Cabinda	Cabinda	-5.56	12.19	Angola	739182	1024474012	1	
Kumamoto	Kumamoto	32.8031	130.7078	Japan	738385	1392106283	1	#C33C3C
KermÄn	Kerman	30.2625	57.0575	Iran	738374	1364554896	1	
Lingbao Chengguanzhen	Lingbao Chengguanzhen	34.5176	110.8942	China	736300	1156837145	1	#FFAADE
OrÅ«mÄ«yeh	Orumiyeh	37.5439	45.0647	Iran	736224	1364158221	1	
Quebec City	Quebec City	46.8139	-71.2081	Canada	733156	1124823933	1	
Taihe	Taihe	30.871	105.388	China	732380	1156281983	1	#FFAADE
Yanggok	Yanggok	37.6333	127.2167	Korea, South	732376	1410188674	1	
