suburb,Property_Price
HAHNDORF,-1
HALBURY,-1
HALLETT,-1
HALLETT COVE,775000
HAMLEY BRIDGE,-1
HAMPDEN,-1
HAMPSTEAD GARDENS,838000
HAPPY VALLEY,715000
HARDWICKE BAY,-1
HARROGATE,-1
HATHERLEIGH,-1
HAWKER,-1
HAWSON,-1
HAWTHORN,1849995
HAWTHORNDENE,855000
HAYBOROUGH,-1
HAZELWOOD PARK,1850000
HEATHFIELD,1367500
HEATHPOOL,2050000
HECTORVILLE,900000
HENDON,637500
HENLEY BEACH,1625000
HENLEY BEACH SOUTH,1260000
HEWETT,-1
HIGHBURY,805000
HIGHGATE,1385000
HIGHLAND VALLEY,-1
HILLBANK,648000
HILLCREST,725000
HILLIER,535000
HILLTOWN,-1
HILTON,810000
HINDMARSH,0
HINDMARSH ISLAND,-1
HINDMARSH VALLEY,-1
HOLDEN HILL,695000
HOPE VALLEY,661000
HORSNELL GULLY,1300000
HOUGHTON,-1
HOVE,1150000
HUMBUG SCRUB,0
HUNTFIELD HEIGHTS,561000
HYDE PARK,3137500
INGLE FARM,650000
INGLEWOOD,-1
INMAN VALLEY,-1
INNESTON,-1
IRON KNOB,-1
IRONBANK,480000
ISLAND BEACH,-1
JAMES WELL,-1
JAMESTOWN,-1
JERUSALEM,-1
JOANNA,-1
JOSLIN,2000000
JUPITER CREEK,-1
KADINA,-1
KALANGADOO,-1
KALBEEBA,-1
KANGARILLA,1051500
KANMANTOO,-1
KAPUNDA,-1
KAROONDA,-1
KATARAPKO,-1
KEILIRA,-1
KEITH,-1
KELLY,-1
KENSINGTON,1166667
KENSINGTON GARDENS,1375000
KENSINGTON PARK,1490000
KENT TOWN,1100000
KERSBROOK,840000
KESWICK,820000
KEYNETON,-1
KIDMAN PARK,1112500
KILBURN,720000
KILKENNY,1525000
KIMBA,-1
KINGS PARK,2300000
KINGSCOTE,-1
KINGSTON ON MURRAY,-1
KINGSTON PARK,1790000
KINGSTON SE,-1
KINGSWOOD,2695000
KLEMZIG,830000
KONGORONG,-1
KOONIBBA,-1
KORUNYE,-1
KUDLA,0
KUITPO,-1
KURRALTA PARK,960000
LAMEROO,-1
LANGHORNE CREEK,-1
LARGS BAY,930000
LARGS NORTH,805000
LAURA,-1
LEABROOK,4502500
LEIGH CREEK,-1
LENSWOOD,825000
LEWISTON,-1
LIGHT PASS,-1
LINCOLN NATIONAL PARK,-1
LINDEN PARK,1615000
LIPSON,-1
LITTLEHAMPTON,-1
LOBETHAL,645000
LOCHABER,-1
LOCHIEL,-1
LOCK,-1
LOCKLEYS,1105000
LONGWOOD,0
LONSDALE,2550000
LOUTH BAY,-1
LOVEDAY,-1
LOWER INMAN VALLEY,-1
LOWER LIGHT,-1
LOWER MITCHAM,1496000
LOXTON,-1
LOXTON NORTH,-1
LUCINDALE,-1
LYNDOCH,-1
LYNTON,1302000
LYRUP,-1
MACCLESFIELD,-1
MACDONALD PARK,0
MAGILL,1055000
MAITLAND,-1
MALLALA,-1
MALVERN,3130000
MANNANARIE,-1
MANNINGHAM,895000
MANNUM,-1
MANOORA,-1
MANSFIELD PARK,670000
MARAMA,-1
MARANANGA,-1
MARDEN,1240000
MARINO,1350000
MARION,875000
MARION BAY,-1
MARKS LANDING,-1
MARLESTON,882500
MARRABEL,-1
MARREE,-1
MARRYATVILLE,1251000
MASLIN BEACH,910000
MAWSON LAKES,715326
MAYLANDS,1375000
MCLAREN FLAT,842500
MCLAREN VALE,815000
MC,-1
MEADOWS,-1
MEDINDIE,3500000
MEDINDIE GARDENS,1694000
MELROSE,-1
MELROSE PARK,940000
MENINGIE,-1
MENZIES,-1
MIDDLETON,-1
MIL,-1
MILANG,-1
MILE END,1070000
MILE END SOUTH,0
MILLICENT,-1
MILLSWOOD,2715000
MINGBOOL,-1
MINLATON,-1
MINNIPA,-1
MINTARO,-1
MIRANDA,-1
MITCHAM,1613000
MITCHELL PARK,806000
MOANA,760000
MOCULTA,-1
MODBURY,734500
MODBURY HEIGHTS,751250
MODBURY NORTH,670000
MONARTO,-1
MONARTO SOUTH,-1
MONASH,-1
MONTACUTE,1038000
MOONTA,-1
MOONTA BAY,-1
MOONTA MINES,-1
MOORAK,-1
MOOROOK SOUTH,-1
MOPPA,-1
MORGAN,-1
MORPHETT VALE,600000
MORPHETTVILLE,953000
MOUNT BARKER,-1
MOUNT BARKER SPRINGS,-1
MOUNT BURR,-1
MOUNT COMPASS,-1
MOUNT CRAWFORD,-1
MOUNT GAMBIER,-1
MOUNT GEORGE,1050000
MOUNT OSMOND,1150000
MOUNT PLEASANT,-1
MOUNT SCHANK,-1
MOUNT TORRENS,-1
MULLAQUANA,-1
MUNDULLA,-1
MUNNO PARA,551000
MUNNO PARA DOWNS,0
MUNNO PARA WEST,550000
MURRAY BRIDGE,-1
MURRAY BRIDGE EAST,-1
MURTHO,-1
MYLOR,1235000
MYPOLONGA,-1
MYPONGA,-1
MYRTLE BANK,1912500
NAILSWORTH,935000
NAIRNE,-1
NANGWARRY,-1
NAPPERBY,-1
NARACOORTE,-1
NARRUNG,-1
NELSHABY,-1
NENE VALLEY,-1
NEPABUNNA,-1
NEPEAN BAY,-1
NETHERBY,1400000
NETLEY,890000
NEW PORT,601550
NEW RESIDENCE,-1
NEW TOWN,-1
NEWTON,817750
NGARKAT,-1
NILDOTTIE,-1
NINNES,-1
NOARLUNGA CENTRE,562000
NOARLUNGA DOWNS,658000
NORA CREINA,-1
NORMANVILLE,-1
NORTH ADELAIDE,1675000
NORTH BEACH,-1
NORTH BRIGHTON,1325000
NORTH HAVEN,933000
NORTH MOONTA,-1
NORTH PLYMPTON,1053000
NORTH SHIELDS,-1
NORTHERN HEIGHTS,-1
NORTHFIELD,820000
NORTHGATE,935000
NORTON SUMMIT,1100000
NORWOOD,1550000
NOVAR GARDENS,955000
NURIOOTPA,-1
O'HALLORAN HILL,727000
O'SULLIVAN BEACH,570000
OAKBANK,1146250
OAKDEN,800000
OAKLANDS PARK,812000
OB FLAT,-1
OLD CALPERUM,-1
OLD NOARLUNGA,608000
OLD REYNELLA,652500
OLYMPIC DAM,-1
ONE TREE HILL,860000
ONKAPARINGA HILLS,797500
OODNADATTA,-1
ORROROO,-1
OSBORNE,696250
OTTOWAY,670400
OUTER HARBOR,0
OVINGHAM,1270000
OWEN,-1
PADTHAWAY,-1
PAECHTOWN,-1
PAISLEY,-1
PALMER,-1
PANORAMA,980000
PARA HILLS,630000
PARA HILLS WEST,605000
PARA VISTA,649500
PARACOMBE,-1
PARADISE,840000
PARAFIELD,-1
PARAFIELD GARDENS,631000
PARALOWIE,581000
PARHAM,-1
PARILLA,-1
PARINGA,-1
PARIS CREEK,-1
PARK HOLME,834125
PARKSIDE,1325000
PARNDANA,-1
PARRAKIE,-1
PARUNA,-1
PASADENA,900000
PASKEVILLE,-1
PAYNEHAM,1148000
PAYNEHAM SOUTH,1107500
PEAKE,-1
PEKINA,-1
PENFIELD,0
PENFIELD GARDENS,0
PENNESHAW,-1
PENNINGTON,715750
PENOLA,-1
PENONG,-1
PENRICE,-1
PERLUBIE,-1
PETERBOROUGH,-1
PETERHEAD,709500
PICCADILLY,1047500
PINKS BEACH,-1
PINNAROO,-1
PLYMPTON,1055500
PLYMPTON PARK,969250
POINT LOWLY,-1
POINT PEARCE,-1
POINT TURTON,-1
POORAKA,635000
PORT ADELAIDE,760000
PORT AUGUSTA,-1
PORT AUGUSTA WEST,-1
PORT BROUGHTON,-1
PORT ELLIOT,-1
PORT FLINDERS,-1
PORT GERMEIN,-1
PORT HUGHES,-1
PORT LINCOLN,-1
PORT MACDONNELL,-1
PORT MANNUM,-1
PORT MOOROWIE,-1
PORT NEILL,-1
PORT NOARLUNGA,905000
PORT NOARLUNGA SOUTH,767500
PORT PATERSON,-1
PORT PIRIE,-1
PORT PIRIE SOUTH,-1
PORT PIRIE WEST,-1
PORT VICTORIA,-1
PORT VINCENT,-1
PORT WAKEFIELD,-1
PORT WILLUNGA,698000
PRICE,-1
PROSPECT,1262500
PROSPECT HILL,-1
PUNYELROO,-1
QUEENSTOWN,675000
QUORN,-1
REDBANKS,-1
REDHILL,-1
REDWOOD PARK,750250
REGENCY PARK,650000
RENMARK,-1
RENMARK NORTH,-1
RENMARK SOUTH,-1
RENMARK WEST,-1
RENOWN PARK,645000
REYNELLA,628000
REYNELLA EAST,642500
RICHMOND,1035000
RIDGEHAVEN,650000
RIDLEYTON,830000
RISDON PARK,-1
RISDON PARK SOUTH,-1
RIVERGLADES,-1
RIVERTON,-1
ROBE,-1
ROBERTSTOWN,-1
ROCKY CAMP,-1
ROSE PARK,3311111
ROSEWATER,650500
ROSEWORTHY,-1
ROSSLYN PARK,2270000
ROSTREVOR,985000
ROXBY DOWNS,-1
ROYAL PARK,678000
ROYSTON PARK,2135000
RUDALL,-1
SADDLEWORTH,-1
SALISBURY,612500
SALISBURY DOWNS,602500
SALISBURY EAST,600000
SALISBURY HEIGHTS,677500
SALISBURY NORTH,530000
SALISBURY PARK,567750
SALISBURY PLAIN,526000
SALISBURY SOUTH,0
SANDY CREEK,-1
SCOTT CREEK,0
SEACLIFF,1057500
SEACLIFF PARK,934500
SEACOMBE GARDENS,745000
SEACOMBE HEIGHTS,915000
SEAFORD,663500
SEAFORD MEADOWS,678000
